# # Data threated with pyDSC, version xxxx, 
# #More information here? 
# #Temp/ [degC] 	 CP-baseline / [J/K/g] 	 CP [J/K/g] 	 baseline [J/K/g] 	 H [J/g]
5.512271199999999993e+01	-1.350839905630696336e-02	-7.745796855233867184e+00	-7.732288456177560221e+00	0.000000000000000000e+00
5.537271199999999993e+01	-1.652604637012267119e-02	-7.755072609038763609e+00	-7.738546562668640938e+00	-3.754305678303704319e-03
5.562271199999999993e+01	-2.744964018387641147e-02	-7.772451852700609010e+00	-7.745002212516732598e+00	-9.251266497553589652e-03
5.587271199999999993e+01	-5.843014426905668302e-02	-7.810487877094813847e+00	-7.752057732825757164e+00	-1.998623955417022646e-02
5.612271199999999993e+01	-2.436649012596969754e-02	-7.783414527771143732e+00	-7.759048037645174034e+00	-3.033581885354852403e-02
5.637271199999999993e+01	1.482187583866867442e-02	-7.750147039701754004e+00	-7.764968915540422678e+00	-3.152889563946115192e-02
5.662271199999999993e+01	3.643820857154089765e-03	-7.766845736442105519e+00	-7.770489557299259609e+00	-2.922068355248330640e-02
5.687271199999999993e+01	2.323061045481988884e-02	-7.752665583578889574e+00	-7.775896194033709463e+00	-2.586137963848655907e-02
5.712271199999999993e+01	3.654112866762204703e-04	-7.780989675024622798e+00	-7.781355086311299019e+00	-2.291187692079954541e-02
5.737271199999999993e+01	4.744761069788960839e-02	-7.739036743475693036e+00	-7.786484354173582645e+00	-1.693524917272881680e-02
5.762271199999999993e+01	6.574862728703223524e-03	-7.784965040433038830e+00	-7.791539903161742053e+00	-1.018243999440471281e-02
5.787271199999999993e+01	2.012712315178966094e-02	-7.776853030566005742e+00	-7.796980153717795403e+00	-6.844691759343102255e-03
5.812271199999999993e+01	-2.010666221110923857e-02	-7.822893287636458304e+00	-7.802786625425349065e+00	-6.842134141758049459e-03
5.837271199999999993e+01	-2.104077411972760103e-02	-7.830184060723814454e+00	-7.809143286604086853e+00	-1.198556368311265441e-02
5.862271199999999993e+01	9.216280021432154967e-03	-7.805885408783486135e+00	-7.815101688804918290e+00	-1.346362544539958517e-02
5.887271199999999993e+01	-2.713785028155690782e-02	-7.848275111331584064e+00	-7.821137261050027156e+00	-1.570382172791517927e-02
5.912271199999999993e+01	4.122682759106233163e-02	-7.785525447467114724e+00	-7.826752275058177055e+00	-1.394269956422700130e-02
5.937271199999999993e+01	-5.546639092246596903e-02	-7.888202027899331448e+00	-7.832735636976865479e+00	-1.572264498065245597e-02
5.962271199999999993e+01	4.800963161458504658e-03	-7.834379498843534684e+00	-7.839180462004993188e+00	-2.205582345077838902e-02
5.987271199999999993e+01	-1.436351331933582998e-02	-7.859456970148672283e+00	-7.845093456829336453e+00	-2.325114222051305468e-02
6.012271199999999993e+01	1.683007898234389899e-02	-7.834023442968801376e+00	-7.850853521951145275e+00	-2.294282151263704606e-02
6.037271199999999993e+01	-1.894017189648256050e-02	-7.875611110556283379e+00	-7.856670938659800818e+00	-2.320658312690437874e-02
6.062271199999999993e+01	3.509244477379436233e-02	-7.827171118073755984e+00	-7.862263562847550347e+00	-2.118754901724040351e-02
6.087271199999999993e+01	-6.678171524741927101e-03	-7.874389129547611610e+00	-7.867710958022869683e+00	-1.763576486110884911e-02
6.112271199999999993e+01	1.435168739766901069e-02	-7.859063235188679108e+00	-7.873414922586348119e+00	-1.667657537699296366e-02
6.137271199999999993e+01	8.745956943846522336e-02	-7.790539024709319804e+00	-7.877998594147785028e+00	-3.950168272476184406e-03
6.162271199999999993e+01	7.869388176151304037e-02	-7.803153662449241246e+00	-7.881847544210754286e+00	1.681901312752109856e-02
6.187271199999999993e+01	1.058650939352556719e-02	-7.876047816591706940e+00	-7.886634325985232508e+00	2.797906202190092451e-02
6.212271199999999993e+01	7.743915731790806944e-02	-7.814017943980035241e+00	-7.891457101297943311e+00	3.898227036083012909e-02
6.237271199999999993e+01	6.752980932601282404e-02	-7.828119892927676737e+00	-7.895649702253689561e+00	5.710339119132024077e-02
6.262271199999999993e+01	2.471144773106281889e-03	-7.898254573537803580e+00	-7.900725718310909862e+00	6.585351045371012901e-02
6.287271199999999993e+01	2.477801954788372285e-02	-7.881519302426154283e+00	-7.906297321974038006e+00	6.925965599383387961e-02
6.312271199999999993e+01	-1.405537075757123944e-02	-7.926113931686289860e+00	-7.912058560928718620e+00	7.059998709262294003e-02
6.337271199999999993e+01	-2.443661670451113821e-02	-7.942798261192653086e+00	-7.918361644488141948e+00	6.578848865986264283e-02
6.362271199999999993e+01	-1.243341886464399693e-02	-7.937071304653959380e+00	-7.924637885789315384e+00	6.117973421371825093e-02
6.387271199999999993e+01	1.970104917557691238e-02	-7.910731193924144478e+00	-7.930432243099721390e+00	6.208818800258486537e-02
6.412271200000000704e+01	-2.184566599275683529e-03	-7.938304316126718163e+00	-7.936119749527442480e+00	6.427774832462257448e-02
6.437271200000000704e+01	-3.171933487187850176e-02	-7.974069485929386580e+00	-7.942350151057508079e+00	6.003976064072830132e-02
6.462271200000000704e+01	-1.237637237132380719e-01	-8.073595144002547741e+00	-7.949831420289309669e+00	4.060437831758872962e-02
6.487271200000000704e+01	-1.097455360215837672e-01	-8.067819420119636931e+00	-7.958073884098053163e+00	1.141572085073599974e-02
6.512271200000000704e+01	-1.009310056539876044e-01	-8.066960196092715307e+00	-7.966029190438727703e+00	-1.491884685871042171e-02
6.537271200000000704e+01	-1.138983390016052866e-01	-8.087873630929873769e+00	-7.973975291928268483e+00	-4.177251494065953308e-02
6.562271200000000704e+01	-1.264881608847572281e-01	-8.108610201406396101e+00	-7.982122040521638873e+00	-7.182082742645484741e-02
6.587271200000000704e+01	-1.219389201970502157e-01	-8.112228274502253811e+00	-7.990289354305203595e+00	-1.028742125616807779e-01
6.612271200000000704e+01	-1.605054269962185032e-01	-8.159230004114414569e+00	-7.998724577118196066e+00	-1.381797559608393677e-01
6.637271200000000704e+01	-1.063434289605762473e-01	-8.113286881317886667e+00	-8.006943452357310420e+00	-1.715358629554387115e-01
6.662271200000000704e+01	-1.521416466581388960e-01	-8.167161183631916899e+00	-8.015019536973778003e+00	-2.038464974077781044e-01
6.687271200000000704e+01	-1.413983977717254703e-01	-8.164756847415873153e+00	-8.023358449644147683e+00	-2.405390029615111502e-01
6.712271200000000704e+01	-1.135290930760728401e-01	-8.144802413051762002e+00	-8.031273319975689162e+00	-2.724049393174859390e-01
6.737271200000000704e+01	-1.416763490739949560e-01	-8.180805688115540875e+00	-8.039129339041545919e+00	-3.043056195862444135e-01
6.762271200000000704e+01	-1.874841200148704701e-01	-8.235067093356038370e+00	-8.047582973341167900e+00	-3.454506782223525918e-01
6.787271200000000704e+01	-1.755529112528542157e-01	-8.231808100136259299e+00	-8.056255188883405083e+00	-3.908303071308181775e-01
6.812271200000000704e+01	-1.572379922794446827e-01	-8.221815757401227387e+00	-8.064577765121782704e+00	-4.324291700723555398e-01
6.837271200000000704e+01	-2.022259359479559038e-01	-8.275274237691954582e+00	-8.073048301743998678e+00	-4.773621611007806131e-01
6.862271200000000704e+01	-2.257090210637286987e-01	-8.307718546943556603e+00	-8.082009525879827905e+00	-5.308540307272411329e-01
6.887271200000000704e+01	-1.909293875157942466e-01	-8.281703262120711173e+00	-8.090773874604916927e+00	-5.829338317996815011e-01
6.912271200000000704e+01	-2.732393142467124392e-01	-8.373066491826387292e+00	-8.099827177579674853e+00	-6.409549195199948368e-01
6.937271200000000704e+01	-3.307205527225214325e-01	-8.440617275341246284e+00	-8.109896722618724851e+00	-7.164499028911490708e-01
6.962271200000000704e+01	-3.897405340704303001e-01	-8.510487449149540140e+00	-8.120746915079109840e+00	-8.065075387402680374e-01
6.987271200000000704e+01	-3.387684257642220587e-01	-8.470255117378991727e+00	-8.131486691614769668e+00	-8.975711587195995822e-01
7.012271200000000704e+01	-4.125136900677244256e-01	-8.554740337604998857e+00	-8.142226647537274431e+00	-9.914814231985928927e-01
7.037271200000000704e+01	-4.875220322518067917e-01	-8.641436475726449018e+00	-8.153914443474642226e+00	-1.103985888488534295e+00
7.062271200000000704e+01	-5.390578887941153141e-01	-8.705388418136660533e+00	-8.166330529342545219e+00	-1.232308378619274558e+00
7.087271200000000704e+01	-5.578730026813794041e-01	-8.736889375504977906e+00	-8.179016372823598502e+00	-1.369424740053711398e+00
7.112271200000000704e+01	-6.489617597003647376e-01	-8.841194162038597426e+00	-8.192232402338232689e+00	-1.520279085351429416e+00
7.137271200000000704e+01	-7.632612209815032855e-01	-8.969878683312989764e+00	-8.206617462331486479e+00	-1.696806957936662918e+00
7.162271200000000704e+01	-8.595312863857351715e-01	-9.081664878589331025e+00	-8.222133592203595853e+00	-1.899656021357567726e+00
7.187271200000000704e+01	-9.868834044349004131e-01	-9.225677781774797026e+00	-8.238794377339896613e+00	-2.130457857710147174e+00
7.212271200000000704e+01	-1.069700903867589759e+00	-9.326129243227770260e+00	-8.256428339360180502e+00	-2.387530896247958445e+00
7.237271200000000704e+01	-1.196761353246641235e+00	-9.471719016788023637e+00	-8.274957663541382402e+00	-2.670838678387237319e+00
7.262271200000000704e+01	-1.333263461896423863e+00	-9.627919220184873339e+00	-8.294655758288449476e+00	-2.987091780280120457e+00
7.287271200000000704e+01	-1.347173451340886174e+00	-9.661878557902738862e+00	-8.314705106561852688e+00	-3.322146394434784433e+00
7.312271200000000704e+01	-1.506879391510716815e+00	-9.842076134577798285e+00	-8.335196743067081471e+00	-3.678902999791234585e+00
7.337271200000000704e+01	-1.636276227405909722e+00	-9.993053685009614995e+00	-8.356777457603705273e+00	-4.071797452155813346e+00
7.362271200000000704e+01	-1.774956841998935886e+00	-1.015417307536919012e+01	-8.379216233370254230e+00	-4.498201585831418825e+00
7.387271200000000704e+01	-1.896501424261385793e+00	-1.029887135533061659e+01	-8.402369931069230802e+00	-4.957133869113959257e+00
7.412271200000000704e+01	-2.047190131883713349e+00	-1.047340416152428944e+01	-8.426214029640576086e+00	-5.450095313632096428e+00
7.437271200000000704e+01	-2.125688221366219821e+00	-1.057609473338173878e+01	-8.450406512015518956e+00	-5.971705107788338296e+00
7.462271200000000704e+01	-2.301702287005191749e+00	-1.077670725897211490e+01	-8.475004971966923151e+00	-6.525128921334764520e+00
7.487271200000000704e+01	-2.457528604900256042e+00	-1.095786533585814482e+01	-8.500336730957888776e+00	-7.120032782822945272e+00
7.512271200000000704e+01	-2.652474846032880862e+00	-1.117885717999897288e+01	-8.526382333966092020e+00	-7.758783214189587163e+00
7.537271200000000704e+01	-2.852694972322078470e+00	-1.140594008890337996e+01	-8.553245116581301488e+00	-8.446929441483957746e+00
7.562271200000000704e+01	-3.007695290250639530e+00	-1.158827555946538190e+01	-8.580580269214742373e+00	-9.179478224305547940e+00
7.587271200000000704e+01	-3.169698217227981729e+00	-1.177776896925513128e+01	-8.608070752027149553e+00	-9.951652412740376263e+00
7.612271200000000704e+01	-3.328399229578348439e+00	-1.196401917483361999e+01	-8.635619945255271546e+00	-1.076391459359116709e+01
7.637271200000000704e+01	-3.512683345250470879e+00	-1.217590010484972041e+01	-8.663216759599249528e+00	-1.161904991544476928e+01
7.662271200000000704e+01	-3.624013252001537566e+00	-1.231453370965100191e+01	-8.690520457649464348e+00	-1.251113699010127078e+01
7.687271200000000704e+01	-3.728620846132820077e+00	-1.244568992173025102e+01	-8.717069075597430938e+00	-1.343021625236806571e+01
7.712271200000000704e+01	-3.857810290229696903e+00	-1.260067241454539300e+01	-8.742862124315696093e+00	-1.437852014441338078e+01
7.737271200000000704e+01	-3.910010180238801425e+00	-1.267760432994769459e+01	-8.767594149708893170e+00	-1.534949770322194240e+01
7.762271200000000704e+01	-4.082547826897167553e+00	-1.287392510082451125e+01	-8.791377273927343694e+00	-1.634856745411394030e+01
7.787271200000000704e+01	-4.036793880240432841e+00	-1.285053467113108816e+01	-8.813740790890655319e+00	-1.736348516750614124e+01
7.812271200000000704e+01	-4.102388155297319372e+00	-1.293661463565525160e+01	-8.834226480357932232e+00	-1.838088292194835915e+01
7.837271200000000704e+01	-4.064092006919958422e+00	-1.291694705048628578e+01	-8.852855043566327353e+00	-1.940169294222551954e+01
7.862271200000000704e+01	-3.968630573184205090e+00	-1.283766482653390462e+01	-8.869034253349699526e+00	-2.040578326473853821e+01
7.887271200000000704e+01	-3.931040168535957946e+00	-1.281385503890288469e+01	-8.882814870366926741e+00	-2.139324210745355970e+01
