scan 110/28/20203:56:02 PM
temp(°C)	power	time(seconds)	pressure(A)	scan rate(°C/min)	AnalysisData	CorrectedData
3.99366864421327	-101.766825302418	95114	0.0103780627250671	0.00105563418502541	-101.766825302418	-101.766825302418
3.99366390568482	-101.282280421335	95115	0.0103786587715149	0.00105563418502541	-101.282280421335	-101.282280421335
3.99366901295593	-101.427642823901	95116	0.0103777647018433	0.00105563418502541	-101.427642823901	-101.427642823901
3.99370772738401	-103.898817236479	95117	0.0103768706321716	0.00105563418502541	-103.898817236479	-103.898817236479
3.99380601712021	-108.986521789165	95118	0.0103777647018433	0.004270573912315	-108.986521789165	-108.986521789165
3.99398156902664	-116.702859477912	95119	0.0103774666786194	0.00847920278230013	-116.702859477912	-116.702859477912
3.99424809378604	-126.817657238263	95120	0.0103768706321716	0.0137859653753937	-126.817657238263	-126.817657238263
3.9946184315591	-139.367237548861	95121	0.0103768706321716	0.0202835531686268	-139.367237548861	-139.367237548861
3.99510469973215	-154.036622510072	95122	0.0103774666786194	0.0279945964178171	-154.036622510072	-154.036622510072
3.99571908350623	-170.704647045266	95123	0.010378360748291	0.0368071579251072	-170.704647045266	-170.704647045266
3.99647239688698	-189.262254602112	95124	0.0103771686553955	0.0465922766581909	-189.262254602112	-189.262254602112
3.99737712587051	-209.442905972819	95125	0.0103765726089478	0.0556234344907049	-209.442905972819	-209.442905972819
3.99844397247444	-231.295009493954	95126	0.0103786587715149	0.0653268828789168	-231.295009493954	-231.295009493954
3.99968385939616	-254.576242842109	95127	0.0103774666786194	0.0756958810577148	-254.576242842109	-254.576242842109
4.00110783224969	-279.298661167505	95128	0.0103765726089478	0.0867237737189847	-279.298661167505	-279.298661167505
4.00272616940136	-305.486425908831	95129	0.0103777647018433	0.0983851207889914	-305.486425908831	-305.486425908831
4.00455026962963	-333.030443098441	95130	0.0103789567947388	0.110676544329135	-333.030443098441	-333.030443098441
4.00659017048753	-361.773161228678	95131	0.0103765726089478	0.123587375729893	-361.773161228678	-361.773161228678
4.00885538996255	-391.823514148093	95132	0.0103759765625	0.137101508115638	-391.823514148093	-391.823514148093
4.0113562359795	-423.048162942586	95133	0.0103777647018433	0.151215050635794	-423.048162942586	-423.048162942586
4.01410238656465	-455.35010368916	95134	0.0103765726089478	0.165907334010466	-455.35010368916	-455.35010368916
4.01710300819651	-488.571763836626	95135	0.0103777647018433	0.18116328902701	-488.571763836626	-488.571763836626
4.02036792530887	-522.822047822354	95136	0.0103768706321716	0.196972699184259	-522.822047822354	-522.822047822354
4.02390612526418	-557.773795004565	95137	0.0103777647018433	0.213318650964996	-557.773795004565	-557.773795004565
4.02772588754068	-593.548013694561	95138	0.0103786587715149	0.230193680572844	-593.548013694561	-593.548013694561
4.03183553820072	-629.890217199232	95139	0.0103780627250671	0.247577598216182	-629.890217199232	-629.890217199232
4.03624341192542	-666.715494751051	95140	0.0103774666786194	0.265445980060177	-666.715494751051	-666.715494751051
4.04095831596482	-704.060053127551	95141	0.0103762745857239	0.283779275480823	-704.060053127551	-704.060053127551
4.04598706132173	-741.7420816486	95142	0.0103780627250671	0.302573941952485	-741.7420816486	-741.7420816486
4.05133662298255	-779.676668026779	95143	0.0103768706321716	0.32180644697989	-779.676668026779	-779.676668026779
4.05701370740361	-817.657786511515	95144	0.010378360748291	0.341463000341449	-817.657786511515	-817.657786511515
4.06302618076847	-855.903312712136	95145	0.0103768706321716	0.361521350967503	-855.903312712136	-855.903312712136
4.06937962368171	-894.08611145677	95146	0.0103786587715149	0.381963348562121	-894.08611145677	-894.08611145677
4.07608076196525	-932.327165813779	95147	0.0103768706321716	0.402774628327752	-932.327165813779	-932.327165813779
4.08313580691102	-970.590010576294	95148	0.0103780627250671	0.423941201886117	-970.590010576294	-970.590010576294
4.09054945198731	-1008.29322050247	95149	0.010378360748291	0.445436575955809	-1008.29322050247	-1008.29322050247
4.09832699628746	-1045.83633213222	95150	0.010378360748291	0.467244584152896	-1045.83633213222	-1045.83633213222
4.10647351429032	-1083.08601695266	95151	0.010378360748291	0.489342437613171	-1083.08601695266	-1083.08601695266
4.11499378129665	-1119.86052128123	95152	0.0103771686553955	0.51170669616268	-1119.86052128123	-1119.86052128123
4.12389149183288	-1156.24451509508	95153	0.0103774666786194	0.534336086175511	-1156.24451509508	-1156.24451509508
4.13317071302012	-1192.04415608564	95154	0.0103759765625	0.557199739402898	-1192.04415608564	-1192.04415608564
4.14283492146334	-1227.35623074926	95155	0.0103762745857239	0.580275374092406	-1227.35623074926	-1227.35623074926
4.15288866204112	-1262.02324145917	95156	0.0103756785392761	0.60354758440771	-1262.02324145917	-1262.02324145917
4.16333363255113	-1296.05723068206	95157	0.0103762745857239	0.627003356672761	-1296.05723068206	-1296.05723068206
4.17417230793444	-1329.21598378655	95158	0.0103780627250671	0.650616601701852	-1329.21598378655	-1329.21598378655
4.18540766614422	-1361.63263730064	95159	0.0103774666786194	0.674378278728318	-1361.63263730064	-1361.63263730064
4.1970418834447	-1393.13765168139	95160	0.0103771686553955	0.6982587891515	-1393.13765168139	-1393.13765168139
4.20907598321867	-1423.73100695483	95161	0.0103771686553955	0.722247218456695	-1423.73100695483	-1423.73100695483
4.22151238731497	-1453.35215417361	95162	0.0103765726089478	0.746326546212204	-1453.35215417361	-1453.35215417361
4.23435218744213	-1481.92845888137	95163	0.0103768706321716	0.770478658624391	-1481.92845888137	-1481.92845888137
4.24759580803774	-1509.58098554301	95164	0.010378360748291	0.794679545730348	-1509.58098554301	-1509.58098554301
