scan 110/28/20203:56:02 PM 2
temp(°C)	power	time(seconds)	pressure(A)	scan rate(°C/min)	AnalysisData	CorrectedData
4.02366864421327	-28.5071680896326	95114	0.0103828310966492	0.00105563418502541	526.970414686355	526.970414686355
4.02366390568482	-28.3597811366128	95115	0.0103843212127686	0.00105563418502541	527.072004812195	527.072004812195
4.02366901295593	-28.1632642654223	95116	0.0103843212127686	0.00105563418502541	527.317882196839	527.317882196839
4.02370772738401	-28.4826003239422	95117	0.0103852152824402	0.00105563418502541	527.37259421	527.37259421
4.02380601712021	-30.3126510057575	95118	0.0103849172592163	0.004270573912315	526.491260608241	526.491260608241
4.02398156902664	-34.6114292165211	95119	0.0103861093521118	0.00847920278230013	523.887609738908	523.887609738908
4.02424809378604	-41.8824992725438	95120	0.0103873014450073	0.0137859653753937	519.172413538834	519.172413538834
4.0246184315591	-52.0521532049963	95121	0.0103846192359924	0.0202835531686268	512.53862565713	512.53862565713
4.02510469973215	-64.9607013686223	95122	0.0103858113288879	0.0279945964178171	504.245371386769	504.245371386769
4.02571908350623	-80.546705444764	95123	0.0103855133056641	0.0368071579251072	494.446094506931	494.446094506931
4.02647239688698	-98.3802545922931	95124	0.0103849172592163	0.0465922766581909	483.639947506587	483.639947506587
4.0273771258705	-118.485872776271	95125	0.0103846192359924	0.0556234344907049	471.875422396208	471.875422396208
4.02844397247444	-140.814383114605	95126	0.0103849172592163	0.0653268828789168	459.223621396082	459.223621396082
4.02968385939616	-165.05867695972	95127	0.0103843212127686	0.0756958810577148	446.044244933634	446.044244933634
4.03110783224969	-191.083589246107	95128	0.0103837251663208	0.0867237737189847	432.510222827707	432.510222827707
4.03272616940136	-219.036433636838	95129	0.0103837251663208	0.0983851207889914	418.443479582855	418.443479582855
4.03455026962963	-248.499543639975	95130	0.0103846192359924	0.110676544329135	404.288750372917	404.288750372917
4.03659017048753	-279.718471361959	95131	0.0103843212127686	0.123587375729893	389.810082586313	389.810082586313
4.03885538996255	-312.521174652345	95132	0.0103849172592163	0.137101508115638	375.123119358829	375.123119358829
4.0413562359795	-346.514535434872	95133	0.0103849172592163	0.151215050635794	360.598854274161	360.598854274161
4.04410238656465	-381.845826758376	95134	0.0103849172592163	0.165907334010466	346.00290829786	346.00290829786
4.04710300819651	-418.416679319636	95135	0.0103846192359924	0.18116328902701	331.410532302163	331.410532302163
4.05036792530887	-456.091872974689	95136	0.0103855133056641	0.196972699184259	316.869943237706	316.869943237706
4.05390612526418	-494.822152884776	95137	0.0103837251663208	0.213318650964996	302.269928065263	302.269928065263
4.05772588754068	-534.435447581761	95138	0.0103843212127686	0.230193680572844	287.859749692833	287.859749692833
4.06183553820072	-574.79652759091	95139	0.0103852152824402	0.247577598216182	273.696192979156	273.696192979156
4.06624341192542	-615.72103895987	95140	0.0103846192359924	0.265445980060177	259.751738868588	259.751738868588
4.07095831596481	-657.18427697569	95141	0.0103852152824402	0.283779275480823	246.077347356711	246.077347356711
4.07598706132173	-699.100133100308	95142	0.0103849172592163	0.302573941952485	232.705037686026	232.705037686026
4.08133662298255	-741.345656873457	95143	0.0103849172592163	0.32180644697989	219.707344721971	219.707344721971
4.08701370740361	-783.724220400675	95144	0.0103852152824402	0.341463000341449	206.82078358892	206.82078358892
4.09302618076847	-826.260238371447	95145	0.0103834271430969	0.361521350967503	194.198403151932	194.198403151932
4.0993796236817	-868.879888034524	95146	0.0103846192359924	0.381963348562121	181.884407654073	181.884407654073
4.10608076196525	-911.533904428866	95147	0.0103852152824402	0.402774628327752	169.803047879327	169.803047879327
4.11313580691102	-954.062512232341	95148	0.0103837251663208	0.423941201886117	157.940085886948	157.940085886948
4.12054945198731	-996.281393205507	95149	0.0103843212127686	0.445436575955809	146.533005037847	146.533005037847
4.12832699628746	-1038.23953527739	95150	0.0103837251663208	0.467244584152896	135.348822054486	135.348822054486
4.13647351429032	-1079.7526344409	95151	0.0103855133056641	0.489342437613171	124.578854869731	124.578854869731
4.14499378129665	-1120.83285279425	95152	0.0103846192359924	0.51170669616268	114.125279665444	114.125279665444
4.15389149183288	-1161.36957873624	95153	0.0103840231895447	0.534336086175511	104.009855050431	104.009855050431
4.16317071302012	-1201.55914594268	95154	0.0103843212127686	0.557199739402898	93.9829783065352	93.9829783065352
4.17283492146334	-1240.8858039354	95155	0.0103846192359924	0.580275374092406	84.3389372602219	84.3389372602219
4.18288866204112	-1279.54590432029	95156	0.0103837251663208	0.60354758440771	74.9889959860247	74.9889959860247
4.19333363255113	-1317.46571157621	95157	0.0103846192359924	0.627003356672761	65.8359649590163	65.8359649590163
4.20417230793444	-1354.58377605514	95158	0.0103843212127686	0.650616601701852	56.9102190624667	56.9102190624667
4.21540766614422	-1390.72817856221	95159	0.0103837251663208	0.674378278728318	48.3225648142177	48.3225648142177
4.2270418834447	-1425.89888173188	95160	0.0103849172592163	0.6982587891515	39.9730012271564	39.9730012271564
4.23907598321867	-1459.99766159226	95161	0.0103840231895447	0.722247218456695	32.0277211874143	32.0277211874143
4.25151238731497	-1493.09814773164	95162	0.0103837251663208	0.746326546212204	24.2362603704203	24.2362603704203
4.26435218744213	-1525.07759089652	95163	0.0103846192359924	0.770478658624391	16.6042537573453	16.6042537573453
4.27759580803774	-1555.80099678633	95164	0.0103834271430969	0.794679545730348	9.33693877385258	9.33693877385258
4.29124373832586	-1585.32976486171	95165	0.0103846192359924	0.81891867876723	2.33342662642144	2.33342662642144
4.30529684298373	-1613.60256826763	95166	0.010383129119873	0.8431679368591	-4.42738239559026	-4.42738239559026
